long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0436_BXD99_RwwJ	BXD99_RwwJ_0436	BXD099	4_rww	epoch_3b	G10_RI	45	55	NA	AI
4512-JFI-0469_BXD100_RwwJ	BXD100_RwwJ_0469	BXD100	4_rww	epoch_3b	G10_RI	45	55	NA	AI
4512-JFI-0475_BXD101_RwwJ	BXD101_RwwJ_0475	BXD101	4_rww	epoch_3b	G10_RI	40	50	NA	AI
4512-JFI-0406_BXD102_RwwJ	BXD102_RwwJ_0406	BXD102	4_rww	epoch_3b	G10_RI	40	50	NA	AI
4512-JFI-0424_BXD111	BXD111_0424	BXD111	5_rww	epoch_4	F2_RI	24	24	NA	RI
4512-JFI-0365_BXD113_RwwJ	BXD113_RwwJ	BXD113	5_rww	epoch_4	F2_RI	32	32	NA	RI
4512-JFI-0459_BXD114	BXD114_0459	BXD114	5_rww	epoch_4	F2_RI	28	28	NA	RI
4512-JFI-0467_BXD122_TyJ	BXD122_TyJ_0467	BXD122	5_rww	epoch_4	F2_RI	23	23	NA	RI
4512-JFI-0431_BXD123	BXD123_0431	BXD123	5_rww	epoch_4	F2_RI	30	30	NA	RI
4512-JFI-0454_BXD124_RwwJ	BXD124_RwwJ_0454	BXD124	5_rww	epoch_4	F2_RI	26	26	NA	RI
4512-JFI-0472_BXD125_RwwJ	BXD125_RwwJ_0472	BXD125	5_rww	epoch_4	F2_RI	40	40	NA	RI
4512-JFI-0401_BXD127	BXD127_0401	BXD127	5_rww	epoch_4	F2_RI	23	23	NA	RI
4512-JFI-0492_BXD128	BXD128_0492	BXD128	5_rww	epoch_4	F2_RI	26	26	NA	RI
4512-JFI-0367_BXD131	BXD131_0367	BXD131	5_rww	epoch_4	F2_RI	27	27	NA	RI
4512-JFI-0418_BXD137	BXD137_0418	BXD137	5_rww	epoch_4	F2_RI	22	22	NA	RI
4512-JFI-0450_BXD141	BXD141_0450	BXD141	5_rww	epoch_4	F2_RI	24	24	NA	RI
4512-JFI-0352_BXD144	BXD144_0352	BXD144	5_rww	epoch_4	F2_RI	28	28	NA	RI
4512-JFI-0494_BXD147	BXD147_0494	BXD147	5_rww	epoch_4	F2_RI	23	23	NA	RI
4512-JFI-0417_BXD148	BXD148_0417	BXD148	5_rww	epoch_4	F2_RI	23	23	NA	RI
4512-JFI-0341_BXD149	BXD149_0341	BXD149	5_rww	epoch_4	F2_RI	20	20	NA	RI
4512-JFI-0373_BXD150	BXD150_0373	BXD150	5_rww	epoch_4	F2_RI	27	27	NA	RI
4512-JFI-0457_BXD151	BXD151_0457	BXD151	5_rww	epoch_4	F2_RI	27	27	NA	RI
